geo,name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
afg,Afghanistan,,,1.21246,5.45768,3.60297,3.38122,2.72606,2.61078,3.00392,2.51478,2.25674,2.18812,1.37,1.77507,1.86067,2.01441,2.14111,2.31912,1.90905,1.77526,4.24603,3.96101,1.12606
ago,Angola,2.73858,5.96825,4.19123,4.26047,5.65924,4.82064,4.71874,4.51627,4.06037,5.77789,4.24957,4.58057,4.20151,4.5754,3.61568,4.56263,5.4327,5.36432,5.36432,5.50688,7.30502,8.77737,6.69964
alb,Albania,8.17373,8.42368,8.20897,8.99718,9.35448,9.30095,9.03392,9.37711,7.25106,7.21709,8.09451,8.29091,8.69735,8.83006,8.17428,8.80357,9.88867,9.51418,9.88601,10.07304,9.18517,9.14113,9.19367
and,Andorra,30.41849,18.42597,30.31305,30.21513,27.70529,18.77888,23.28827,21.89483,24.80569,16.87078,24.52881,23.76627,15.37075,11.18908,21.67169,15.75211,11.59597,14.12029,14.5285,14.57426,15.05597,15.79054,15.87092
are,UAE,7.5661,7.58358,7.80031,8.0875,7.94021,8.37682,8.52716,8.52689,8.52667,8.52689,8.52679,8.52677,8.52671,8.5268,7.77782,9.06669,9.06669,7.80897,7.91994,7.91994,11.41092,12.88674,12.07433
arg,Argentina,17.81966,17.37289,18.45749,17.12602,16.25901,16.02176,15.0995,14.39875,14.65606,16.42263,16.69264,16.27754,16.66111,16.54239,16.28528,16.49741,15.52159,16.03947,15.48355,16.13216,15.74081,16.24209,15.22453
arm,Armenia,3.86989,5.66265,5.32553,5.37523,6.27548,7.44001,7.93186,7.19855,6.69246,6.3449,6.43609,6.70102,7.04075,5.78088,6.27526,6.1153,6.05355,5.27347,5.13386,5.66885,7.68962,7.63497,6.50275
atg,Antigua and Barbuda,11.86253,12.11716,10.65088,12.44891,12.12657,11.53017,8.36808,8.45185,8.08106,6.33139,13.89639,12.98979,14.63236,13.30073,15.10594,11.81754,11.60688,11.60739,13.07453,11.29999,13.78379,13.09405,13.98856
aus,Australia,14.60133,14.70855,15.51416,15.48101,15.94705,15.90277,15.93997,16.49022,15.61296,15.88237,16.1146,16.32674,16.19138,15.40612,17.64246,18.31172,18.48745,18.54752,18.51688,17.15175,17.09125,19.30941,20.22161
aut,Austria,13.37524,13.29258,13.51373,13.61917,13.02688,13.67242,13.78216,14.09158,14.38891,13.75788,14.0038,14.31894,14.51293,14.37263,14.34008,14.69125,14.96038,15.54595,15.8069,16.13482,15.30967,16.89701,16.31686
aze,Azerbaijan,4.75029,4.79821,3.19316,3.57235,3.5576,3.95949,3.42998,3.49034,2.75191,3.28484,3.17126,2.81601,3.04532,2.82229,3.10701,3.37283,3.28987,2.82377,2.67804,3.28793,5.79772,4.60518,4.60518
bdi,Burundi,5.94454,6.66264,6.37958,3.71582,5.80384,6.2231,6.48142,6.32316,3.78775,5.47752,4.86066,8.22791,7.11028,4.4317,9.79248,10.44352,9.90449,8.35759,7.90786,7.90786,7.33288,7.33288,4.72897
bel,Belgium,12.06895,12.4333,12.28862,13.30091,14.17947,13.2959,13.94907,13.94859,14.30643,14.39375,14.42988,14.26799,14.21564,14.31455,14.52102,15.34845,15.59717,15.92723,15.91589,15.59864,14.94847,15.44107,15.19004
ben,Benin,7.29949,7.99415,6.34654,7.73368,8.69476,7.5574,8.31232,6.1193,5.10336,5.10594,5.3446,4.42361,5.24634,5.1338,4.04459,3.25478,3.05097,2.56151,2.71143,2.13318,2.71948,1.60077,2.59516
bfa,Burkina Faso,4.84837,4.94218,5.43493,5.56973,8.391,6.04864,6.54069,6.27068,7.32153,7.62939,6.03235,6.58739,4.69606,6.38293,7.77367,7.15264,11.03399,9.99147,8.78477,9.57691,11.64695,9.83842,8.39685
bgd,Bangladesh,5.21146,3.57855,4.53993,4.75531,4.86527,4.38884,4.7282,5.07519,3.84091,4.11534,4.43942,4.18159,4.0162,3.61746,3.59245,3.37689,4.09936,4.10705,3.75035,3.29687,3.07912,3.08361,1.1906
bgr,Bulgaria,8.07667,9.46552,10.74446,11.33319,10.82743,11.16988,10.79414,9.10507,9.3931,9.03616,10.84996,11.41063,11.1794,10.69858,10.3641,10.23375,11.82779,11.83658,11.43418,11.5538,12.22752,13.32519,11.59035
