geo,name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
afg,Afghanistan,496.331,467.888,441.673,433.992,435.323,436.912,440.974,447.94,455.989,459.485,459.634,462.178,452.119,459.201,458.387,462.12,456.116,458.374,449.533,437.571,416.589,395.561,372.998,352.733,334.633,318.134,302.417,289.103,281.207,267.348
ago,Angola,321.779,314.606,310.784,316.817,320.036,307.46,278.322,267.103,278.486,283.161,275.491,264.446,249.861,259.9,254.417,257.517,258.012,253.546,245.581,243.816,238.084,232.559,226.61,219.34,210.595,205.371,198.765,197.618,193.408,186.062
alb,Albania,28.51,27.034,23.431,20.436,17.283,16.412,15.316,13.787,12.311,11.847,12.388,11.044,11.031,10.599,10.646,11.978,11.719,10.76,10.487,9.671,9.125,8.764,8.468,8.26,7.984,7.747,7.584,7.462,7.33,7.178
and,Andorra,2.671,2.587,2.569,2.582,2.588,2.518,2.449,2.395,2.344,2.318,2.295,2.275,2.229,2.241,2.28,2.264,2.252,2.211,2.184,2.156,2.103,2.082,2.059,2.003,1.95,1.883,1.917,1.916,1.904,1.883
are,UAE,24.036,23.351,22.545,21.464,19.428,18.632,18.128,17.672,17.525,17.518,17.438,17.292,17.122,16.738,14.899,13.792,12.19,10.963,9.451,8.77,8.887,9.144,9.525,11.3,15.454,16.459,17.56,18.688,19.77,20.72
arg,Argentina,65.719,63.298,62.684,60.858,56.111,59.48,62.19,59.183,58.597,60.323,57.972,63.754,68.34,64.527,61.697,61.145,65.279,64.864,58.697,65.88,58.352,55.72,52.563,50.479,51.171,53.355,53.369,54.452,54.188,53.82
arm,Armenia,38.506,29.518,24.639,32.794,31.11,35.988,28.637,34.797,26.342,31.409,36.412,20.128,12.623,22.148,19.926,21.091,23.41,18.217,30.165,25.634,13.753,15.78,14.467,19.715,18.094,18.951,25.881,20.736,20.713,20.884
atg,Antigua and Barbuda,30.769,28.852,28.002,23.615,25.699,26.091,22.418,25.874,25.27,26.419,24.726,25.227,26.354,27.259,28.857,28.83,32.63,32.447,35.278,33.863,36.218,37.938,41.504,42.396,39.821,45.755,46.894,42.123,41.455,41.241
aus,Australia,7.534,5.249,5.697,7.672,9.186,9.123,7.289,8.702,5.968,10.482,7.059,6.823,6.676,5.102,5.832,5.36,6.369,4.76,4.14,6.16,6.312,6.225,6.174,3.484,4.305,3.738,4.401,4.253,4.127,4.045
aut,Austria,7.484,8.336,7.291,5.991,8.608,3.531,5.738,4.202,4.951,3.568,4.287,5.743,3.088,3.028,3.658,3.683,2.905,3.483,2.757,2.852,2.149,3.891,2.088,2.972,5.512,4.305,4.505,2.804,3.184,3.123
